id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Alfredo;Gleason;FEMALE;"VZ#T@P$E2.T=""z.";(154) 495-2560 x7322;cross-platform Point Orchestrator;Solomon Islands Licensed;Corwinborough;Lithuania;1
2;Maurice;Bauch;OTHER;"1aeMTo@~]Bs8N.%[";(196) 335-9816;bandwidth azure;SMS Enhanced;Chanelfort;Wallis and Futuna;2
3;Jose;Lehner;MALE;"#P9@C7.5X3.0X";(613) 237-7888 x84786;Unbranded Cheese Dynamic;Alabama transform;Ondrickashire;Albania;1
4;Carolina;Gutmann;FEMALE;"+X@H0.B2";(317) 367-8763 x550;turn-key dedicated;Wisconsin;Huelport;Togo;2
5;London;Kemmer;MALE;"hF@;2.m2.V6A>q";076.019.9492 x983;Automotive Tactics architectures;Wisconsin Facilitator Incredible;West Claud;Svalbard & Jan Mayen Islands;1
6;Emile;Kuhic;MALE;"l@3:S*rX.P[0<q";(026) 693-1252;portal calculating Metal;real-time discrete redundant;Gaylordhaven;Namibia;2
7;Arnaldo;Langosh;OTHER;"[!@o.r7QKe";708.830.3504;Argentine Peso implementation;Wallis and Futuna;Lake Lance;Sweden;1
8;Demarco;Bashirian;OTHER;"<{W@V.iQ";722-964-0801 x54566;panel;Analyst card Licensed Cotton Ball;South Natalie;Belarus;1
9;Alda;Denesik;FEMALE;"&<:.s@{.q";(250) 716-9269;alarm Jamaica;system Gorgeous Rubber Pants;Lake Blanchetown;Grenada;1
10;Audreanne;Bayer;MALE;"$X@+5r9.B-""2";484.314.4630 x6968;explicit;Personal Loan Account;Jevonhaven;Maldives;2
